Genes.tsv					KB	Simulation	Essentiality						EcoGene			WCM curation	Gene Ontology
EG10149	cheW	CheW	characterized	characterized	0.000216477	1.00	0.492	0.419	0.446	E	N	N	purine-binding chemotaxis protein	Regulator; Chemotaxis and mobility	Chemotaxis signal transducer; bridges CheA to chemoreceptors to regulate phophotransfer to CheY and CheB	Chemotaxis 	N/A
EG10150	cheY	chemotaxis regulator transmitting signal to flagellar motor component	characterized	characterized	0.0001932188	1.00	0.655	0.297	0.223	N	N	N	chemotaxis regulator transmitting signal to flagellar motor component	Regulator; Chemotaxis and mobility	Response regulator for chemotactic signal transduction; single-domain response regulator lacking an output domain; CheA is the cognate sensor protein; autoacetylase	Chemotaxis 	protein acetylation
EG10151	cheZ	CheZ	characterized	characterized	7.14075481928E-05	1.00	0.554	0.352	0.363	N	N	u	chemotaxis regulator, protein phosphatase for CheY	Regulator; Chemotaxis and mobility	CheY-P phosphatase	Chemotaxis 	regulation of chemotaxis
EG10618	mukB	cell division protein involved in chromosome partitioning	characterized	characterized	2.84659480083E-05	1.00	N.A.	N.A.	N.A.	E	N	N	chromosome condensin MukBEF, ATPase and DNA-binding subunit	Structural component; Cell division	Chromosome condensin MukBEF, ATPase and DNA-binding subunit; SMC-related protein	Chromosome condensation 	sister chromatid cohesion
EG10608	mreB	MreB	characterized	characterized	7.24439120956E-05	1.00	N.A.	N.A.	N.A.	E	N	u	cell wall structural complex MreBCD, actin-like component MreB	Phenotype; Cell division	Cell wall structural actin-like protein in MreBCD complex; mecillinam resistance protein	Chromosome segregation 	regulation of chromosome segregation
EG11069	xerC	site-specific recombinase	characterized	characterized	3.67446770153E-05	1.00	0.678	0.221	0.197	E	N	u	site-specific tyrosine recombinase	Enzyme; Cell division	Tyrosine recombinase XerCD, resolves chromosome dimers; site-specific	Chromosome segregation 	resolution of recombination intermediates
EG11071	xerD	site-specific recombinase	characterized	characterized	1.24056610019E-05	1.00	0.638	0.314	0.199	?	N	u	site-specific tyrosine recombinase	Enzyme; DNA - replication, repair, restriction/modification	Tyrosine recombinase XerCD, resolves chromosome dimers; site-specific	Chromosome segregation 	resolution of recombination intermediates
EG11252	mukE	protein involved in chromosome partitioning	characterized	characterized	3.32130742354E-05	1.00	N.A.	N.A.	N.A.	E	N	u	chromosome condensin MukBEF, MukE localization factor	Null	Chromosome condensin MukBEF, MukE localization factor	Chromosome segregation 	chromosome condensation
EG12165	mukF	Ca<sup>2+</sup>-binding protein involved in chromosome partitioning	characterized	characterized	6.74381171461E-06	0.91	N.A.	N.A.	N.A.	E	N	u	chromosome condensin MukBEF, kleisin-like subunit, binds calcium	Factor; Cell killing	Chromosome condensin MukBEF, kleisin-like subunit, binds calcium	Chromosome segregation 	chromosome condensation
EG12855	matP	macrodomain Ter protein	characterized	characterized	6.76443635838E-06	0.91	0.852	0.286	0.365	N	u	N	Ter macrodomain organizer matS-binding protein	Factor; DNA - replication, repair, restriction/modification	Ter macrodomain organizer matS-binding protein	Chromosome segregation 	N/A
G6464	ftsK	essential cell division protein FtsK	characterized	characterized	1.88968216738E-05	1.00	N.A.	N.A.	N.A.	N*	E	u	DNA translocase at septal ring sorting daughter chromsomes	Phenotype; Cell division	DNA translocase at septal ring sorting daughter chromsomes	Chromosome segregation 	cytokinetic cell separation
G7656	obgE	GTPase involved in chromosome partitioning and ribosome assembly	characterized	characterized	0.000010526	1.00	N.A.	N.A.	N.A.	E	E	u	GTPase involved in cell partioning and DNA repair	Putative factor; Not classified	DNA-binding GTPase involved in cell partioning and DNA repair; involved in ribosome assembly; GTP-bound form associates with 50S ribosomal subunits; ribosome-associated SpoT ppGpp-degradation stimulator	Chromosome segregation 	ribosome assembly
EG10384	glnB	PII	characterized	characterized	4.29558172707E-05	1.00	0.75	0.268	0.277	N	N	N	regulatory protein P-II for glutamine synthetase	Regulator; Amino acid biosynthesis: Glutamine	PII regulatory protein for glutamine synthase; potent activator of NRII/GlnL/NtrB phosphatase and inhibitor of NRII autophosphorylation; activates adenylation of GlnA by GlnE	Covalent modification regulation 	regulation of nitrogen utilization
EG11211	epmA	EF-P-lysine lysyltransferase	characterized	characterized	1.72624723627E-06	0.41	0.612	0.231	0.205	E	u	N	Elongation Factor P Lys34 lysyltransferase	Enzyme; Protein modification	Elongation Factor P Lys34 lysyltransferase; required for EF-P-mediated translation of polyprolines	Covalent modification regulation 	protein-lysine lysylation
EG11411	glnD	protein-PII uridylyltransferase	characterized	characterized	0.000017146	1.00	0.506	0.373	0.316	E	N	N	uridylyltransferase	Enzyme; Amino acid biosynthesis: Glutamine	Bifunctional uridylyltransferase/uridylyl-removing enzyme; (UTase/UR); controls uridylylation state and activity of PII(GlnB)	Covalent modification regulation 	N/A
EG12191	glnK	GlnK	characterized	characterized	5.21126277528E-07	0.09	0.817	0.336	0.328	N	N	N	nitrogen assimilation regulatory protein for GlnL, GlnE, and AmtB	Regulator; Central intermediary metabolism: Pool, multipurpose conversions	Potent activator of NRII(GlnL/NtrB) phosphatase; trimeric; regulated through NRI/NRII two-component regulatory system; binds to membrane when inhibiting AmtB	Covalent modification regulation 	positive regulation of nitrogen utilization
G6334	uspG	universal stress protein UP12	characterized	characterized	7.21314176691E-06	0.97	0.838	0.355	0.369	N	N	u	universal stress protein UP12	Null	Stress protein, induced in stationary phase; native GroEL substrate; heat shock; mutant sensitive to CCCP; dimeric	Covalent modification regulation 	protein adenylylation
G6344	citC	citrate lyase synthetase	characterized	characterized	1.62167311959E-07	0.09	0.76	0.446	0.452	N	u	u	citrate lyase ligase; [citrate [pro-3S]-lyase] ligase	Enzyme; Central intermediary metabolism: Pool, multipurpose conversions	Citrate lyase ligase; [citrate [pro-3S]-lyase] ligase	Covalent modification regulation 	N/A
G6577	cobB	protein deacetylase	characterized	characterized	1.54447639738E-05	1.00	0.803	0.225	0.206	N	u	N	deacetylase of acs and cheY, chemotaxis regulator	Null	Protein lysine deacetylase, NAD(+)-dependent; chemotaxis regulator; protein lysine desuccinylase; sirituin homolog	Covalent modification regulation 	protein deacetylation
G7836	epmB	lysine 2,3-aminomutase	characterized	characterized	1.94255448111E-05	1.00	0.774	0.242	0.313	?	u	N	EF-P-Lys34 lysylation protein; weak lysine 2,3-aminomutase	Enzyme; Protein modification	Required for lysylation of EF-P Lys34; weak lysine 2,3-aminomutase activity; required for EF-P-mediated translation of polyprolines	Covalent modification regulation 	post-translational protein modification
EG10218	dedD	cell division protein DedD	characterized	characterized	1.86600742233E-05	1.00	0.732	0.28	0.362	N	N	N	membrane-anchored periplasmic protein involved in septation	Putative membrane; Not classified	Membrane-anchored periplasmic protein involved in septation	Cytokinesis 	N/A
EG10227	dicB	Qin prophage; cell division inhibition protein	characterized	characterized	1.65283419193E-07	0.00	0.749	0.284	0.29	?	N	u	Qin prophage; cell division inhibition protein	Regulator; Cell division; Phage or Prophage Related	Control of cell division, activates MinC, Qin prophage	Cytokinesis 	N/A
EG10339	ftsA	essential cell division protein FtsA	characterized	characterized	1.43404354547E-05	1.00	N.A.	N.A.	N.A.	E	E	u	ATP-binding cell division FtsK recruitment protein	Phenotype; Cell division	Cell division and septation protein, specific role unknown; recruited to FtsZ ring	Cytokinesis 	N/A
EG10340	ftsE	cell division protein FtsE	characterized	characterized	1.74209432339E-05	1.00	N.A.	N.A.	N.A.	E	E	N	cell division ATP-binding protein	Phenotype; Not classified	Cell division ATP-binding protein; associated with the inner membrane via FtsX; null mutant has filamentous growth and requires high salt for viability	Cytokinesis 	N/A
EG10342	ftsQ	essential cell division protein FtsQ	characterized	characterized	0.000007433	1.00	N.A.	N.A.	N.A.	E	E	u	divisome assembly protein, membrane anchored protein involved in growth of wall at septum	Phenotype; Cell division	Divisome assembly protein; cell division and growth of wall at septum	Cytokinesis 	N/A
EG10344	ftsW	essential cell division protein FtsW; lipid II flippase	characterized	characterized	1.20942359333E-05	0.97	N.A.	N.A.	N.A.	E	E	u	putative lipid II flippase; integral membrane protein; FtsZ ring stabilizer	Membrane; Cell division	Putative lipid II flippase; divisome protein recruiting FtsI; SEDS protein	Cytokinesis 	lipid-linked peptidoglycan transport
EG10345	ftsX	cell division protein FtsX	characterized	characterized	1.39637839381E-05	0.97	N.A.	N.A.	N.A.	N	E	u	putative ABC transporter permease	Membrane; Cell division	Integral membrane protein invoved in cell division; binds FtsE to the inner membrane	Cytokinesis 	N/A
EG10347	ftsZ	essential cell division protein FtsZ	characterized	characterized	0.000071724	1.00	N.A.	N.A.	N.A.	E	E	u	GTP-binding tubulin-like cell division protein	Enzyme; Cell division	Septal ring GTPase required for cell division and growth; initiation of septation; tubulin-like protein	Cytokinesis 	protein polymerization
EG10596	minC	cell division inhibitor of the MinC-MinD-MinE and DicB-MinC systems that regulate septum placement	characterized	characterized	9.30787937797E-05	1.00	0.747	0.364	0.491	N	N	N	inhibitor of FtsZ ring polymerization	Factor; Cell division	Inhibitor of FtsZ ring polymerization	Cytokinesis 	regulation of cell cycle
EG10597	minD	membrane ATPase of the MinC-MinD-MinE system that regulates septum placement	characterized	characterized	0.0001576436	1.00	N.A.	N.A.	N.A.	E	N	N	inhibitor of FtsZ ring polymerization; chromosome-membrane tethering protein; membrane ATPase of the MinCDEE system	Enzyme; Cell division	Inhibitor of FtsZ ring polymerization; chromosome-membrane tethering protein; membrane ATPase that activates MinC	Cytokinesis 	barrier septum site selection
EG10598	minE	cell division topological specificity factor and inhibitory component of the MinC-MinD-MinE system that regulates septum placement	characterized	characterized	0.000072965	1.00	N.A.	N.A.	N.A.	X	N	u	cell division topological specificity factor	Factor; Cell division	Blocks MinCD inhibition of FtsZ polymerization at cell center; forms membrane-associated coiled arrays in a ring at the cell center	Cytokinesis 	regulation of barrier septum assembly
EG10609	mreC	MreC	characterized	characterized	1.67887412684E-05	1.00	N.A.	N.A.	N.A.	E	N	u	cell wall structural complex MreBCD transmembrane component MreC	Structural component; Murein sacculus, peptidoglycan	Cell division and growth; mecillinam resistance; rod shape-determining protein	Cytokinesis 	establishment or maintenance of cell polarity regulating cell shape
EG10610	mreD	MreD	characterized	characterized	0.000020286	1.00	N.A.	N.A.	N.A.	N	N	u	cell wall structural complex MreBCD transmembrane component MreD	Structural component; Murein sacculus, peptidoglycan	Mecillinam resistance; rod shape-determining protein	Cytokinesis 	N/A
EG11086	ftsL	essential cell division protein FtsL	characterized	characterized	0.000011991	1.00	N.A.	N.A.	N.A.	E	E	u	membrane bound cell division leucine zipper septum protein	Phenotype; Cell division	Cell division and growth, membrane protein	Cytokinesis 	N/A
EG11183	damX	cell division protein DamX	characterized	characterized	0.0001161419	1.00	0.906	0.325	0.34	N	N	N	cell division protein that binds to the septal ring	Putative membrane; Cell division	Cell division protein, binds septal ring; bile salts resistance	Cytokinesis 	N/A
EG11191	slmA	cell division inhibitor	characterized	characterized	4.16408863676E-05	1.00	0.781	0.28	0.28	N	N	N	nucleoid occlusion factor, anti-FtsZ division inhibitor	Putative regulator; Not classified	DNA-binding anti-FtsZ division inhibitor, dimeric; nucleoid occlusion factor; regulates FtsZ assembly and blocks septal ring formation at SBS sites	Cytokinesis 	negative regulation of barrier septum assembly
EG11529	ftsN	essential cell division protein FtsN	characterized	characterized	1.34803206288E-05	0.97	N.A.	N.A.	N.A.	N	E	u	essential cell division protein	Phenotype; Cell division	Cell division and growth; multicopy suppresses ftsA12	Cytokinesis 	cell cycle cytokinesis
EG11878	zapB	cell division factor ZapB	characterized	characterized	9.9572761073E-05	1.00	0.755	0.252	0.266	E	u	u	FtsZ stabilizer, septal ring assembly factor, cell division stimulator	Null	FtsZ stabilizer, coiled-coil protein; septal ring assembly factor, stimulates cell division	Cytokinesis 	N/A
EG12878	zapA	cell division factor ZapA	characterized	characterized	9.51711112029E-05	1.00	0.889	0.245	0.271	N	N	N	FtsZ stabilizer	Null	FtsZ stabilizer, coiled-coil protein	Cytokinesis 	septin ring assembly
G0-10261	ymgF	inner membrane protein that interacts with cell division proteins	characterized	unknown	1.46394540914E-07	0.06	0.796	0.253	0.268	-	u	u	inner membrane division septum protein	Null	Inner membrane division septum protein, function unknown; binds FtsL, FtsI and FtsQ	Cytokinesis 	N/A
G6486	zapC	cell division factor ZapC	characterized	characterized	1.1048680812E-05	1.00	0.8	0.432	0.45	N	N	N	FtsZ stabilizer	Null	FtsZ stabilizer	Cytokinesis 	N/A
G7258	zipA	essential cell division protein ZipA	characterized	characterized	3.79408533916E-05	1.00	N.A.	N.A.	N.A.	E	E	u	FtsZ stabilizer	Membrane; Cell division	FtsZ stabilizer; septal ring structural protein for cell division and growth	Cytokinesis 	N/A
G7424	ftsB	essential cell division protein FtsB	characterized	characterized	1.29825061026E-05	0.97	N.A.	N.A.	N.A.	E	E	N	cell division protein	Null	Membrane protein required for cell division; septum localization dependent on Ftsl and FtsQ	Cytokinesis 	N/A
G7323	yfhM	&alpha;-macroglobulin	characterized	unknown	2.67692874814E-06	0.63	0.782	0.266	0.383	N	u	u	bacterial alpha2-macroglobulin colonization factor ECAM; anti-host protease defense factor; periplasmic inner membrane-anchored lipoprotein	Null	Bacterial alpha2-macroglobulin colonization factor ECAM; anti-host proteinase defense factor; periplasmic inner membrane-anchored lipoprotein	Defense response 	negative regulation of endopeptidase activity
EG11072	xseA	exonuclease VII	characterized	characterized	1.9613753705E-05	1.00	0.83	0.297	0.28	N	N	N	exonuclease VII, large subunit	Enzyme; Degradation of DNA	Exonuclease VII, large subunit	DNA decay 	N/A
EG11098	xseB	exonuclease VII	characterized	characterized	7.83989488256E-05	1.00	0.822	0.197	0.173	?	N	u	exonuclease VII small subunit	Enzyme; Degradation of DNA	Exonuclease VII, small subunit	DNA decay 	N/A
EG10204	dam	DNA adenine methyltransferase	characterized	characterized	2.66421753215E-05	1.00	0.416	0.192	0.144	N	N	N	DNA adenine methyltransferase	Enzyme; DNA - replication, repair, restriction/modification	DNA-(adenine-N6)-methyltransferase, methylates GATC; role in repair and replication	DNA methylation 	DNA methylation on adenine
